1AG,20160502,0.086,0.086,0.082,0.085,291775
1AL,20160502,1,1,1,1,10000
1PG,20160502,0.95,0.95,0.87,0.87,829118
3PL,20160502,1.25,1.295,1.23,1.295,222492
4DS,20160502,0.026,0.026,0.024,0.024,753949
88E,20160502,0.041,0.042,0.04,0.04,13094808
A2M,20160502,1.61,1.615,1.6,1.6,2615072
AAA,20160502,50.08,50.09,50.08,50.08,52868
AAC,20160502,1.41,1.45,1.41,1.45,1384438
AAD,20160502,2.18,2.19,2.15,2.17,815392
AAJ,20160502,0.01,0.011,0.01,0.011,678000
AAP,20160502,0.039,0.039,0.039,0.039,60000
AAR,20160502,0.011,0.012,0.011,0.012,2170848
AAU,20160502,0.022,0.022,0.022,0.022,5000
AAX,20160502,0.28,0.33,0.28,0.3,392953
AB1,20160502,0.265,0.27,0.245,0.255,1018684
ABA,20160502,5.09,5.15,5.09,5.15,5000
ABC,20160502,5.15,5.22,5.13,5.2,1542183
ABL,20160502,0.014,0.014,0.014,0.014,8138
ABP,20160502,3.16,3.195,3.16,3.16,451062
ABT,20160502,0.595,0.65,0.59,0.6,414581
ABU,20160502,0.044,0.045,0.042,0.042,918240
ABV,20160502,0.007,0.007,0.007,0.007,4740974
ABX,20160502,0.16,0.16,0.16,0.16,92828
ABY,20160502,0.3,0.305,0.3,0.3,467187
ACB,20160502,0.017,0.017,0.017,0.017,30000
ACG,20160502,0.165,0.165,0.16,0.165,87709
ACL,20160502,0.01,0.01,0.01,0.01,4000
ACQ,20160502,0.87,0.87,0.87,0.87,15175
ACR,20160502,0.615,0.64,0.61,0.625,346789
ACU,20160502,0.034,0.034,0.034,0.034,107055
ACW,20160502,0.085,0.092,0.085,0.092,1361982
ACX,20160502,6.58,6.58,6.39,6.43,892214
ADA,20160502,2.42,2.45,2.37,2.39,34542
ADH,20160502,2.41,2.43,2.39,2.41,59821
ADJ,20160502,0.092,0.092,0.088,0.09,1175536
ADN,20160502,0.017,0.018,0.017,0.018,946383
ADO,20160502,0.06,0.06,0.052,0.054,2092954
ADV,20160502,0.038,0.039,0.035,0.036,9282629
ADX,20160502,0.008,0.008,0.007,0.007,2815709
ADY,20160502,0.014,0.014,0.012,0.012,14200
AEE,20160502,0.016,0.016,0.015,0.015,110000
AEF,20160502,63.55,63.9,63.25,63.55,792
AEG,20160502,1.17,1.17,1.17,1.17,108975
AEI,20160502,0.445,0.445,0.445,0.445,41000
AEV,20160502,0.22,0.22,0.205,0.22,281887
AFG,20160502,1.05,1.05,1.05,1.05,111100
AFI,20160502,5.57,5.59,5.53,5.56,236610
AFR,20160502,0.046,0.05,0.045,0.05,70096
AGD,20160502,0.17,0.17,0.17,0.17,23000
AGE,20160502,0.012,0.012,0.012,0.012,406955
AGF,20160502,0.815,0.815,0.805,0.81,127229
AGG,20160502,4,4.35,4,4.3,13481
AGI,20160502,2.31,2.34,2.28,2.28,385689
AGL,20160502,18.2,18.5,18.2,18.48,1039390
AGO,20160502,0.023,0.024,0.023,0.023,7529178
AGR,20160502,0.095,0.105,0.095,0.105,169623
AGS,20160502,0.033,0.033,0.033,0.033,48257
AGX,20160502,0.015,0.015,0.013,0.014,2178000
AGY,20160502,0.019,0.021,0.018,0.02,5576967
AHF,20160502,0.22,0.23,0.215,0.23,1478270
AHG,20160502,3.9,3.92,3.86,3.9,561513
AHL,20160502,0.29,0.29,0.29,0.29,7135
AHX,20160502,1.4,1.43,1.4,1.43,429837
AHY,20160502,1.95,1.97,1.92,1.965,2801332
AHZ,20160502,0.39,0.39,0.34,0.355,1120832
AIA,20160502,5.65,5.75,5.62,5.67,16905
AIK,20160502,0.105,0.105,0.105,0.105,1270719
AIO,20160502,8.81,8.86,8.81,8.81,1002475
AIR,20160502,0.08,0.08,0.08,0.08,7000
AIZ,20160502,2.35,2.39,2.3,2.3,29972
AJA,20160502,6.35,6.42,6.31,6.31,33715
AJD,20160502,1.4,1.415,1.395,1.415,85704
AJL,20160502,0.2,0.2,0.2,0.2,50000
AJM,20160502,0.195,0.195,0.185,0.19,3377558
AJQ,20160502,0.085,0.086,0.082,0.084,245660
AJX,20160502,0.63,0.63,0.62,0.63,552365
AKG,20160502,0.16,0.16,0.15,0.15,17410
AKK,20160502,0.005,0.005,0.005,0.005,6277683
AKM,20160502,0.006,0.007,0.006,0.007,256297
AKP,20160502,11,11,10.95,11,6759
ALA,20160502,0.12,0.12,0.115,0.115,73433
ALC,20160502,0.049,0.049,0.046,0.046,175624
ALF,20160502,1.42,1.44,1.42,1.43,136172
ALI,20160502,1.81,1.81,1.8,1.81,33000
ALK,20160502,0.21,0.21,0.205,0.205,467156
ALL,20160502,9.94,10.01,9.84,9.99,1170075
ALQ,20160502,4.7,4.89,4.62,4.86,1910000
ALT,20160502,0.006,0.008,0.006,0.007,7376127
ALU,20160502,6.15,6.2,6.11,6.16,158264
AMA,20160502,0.945,0.96,0.93,0.96,233953
AMC,20160502,15.43,15.5,15.27,15.32,3222870
AMH,20160502,0.91,0.91,0.895,0.9,93150
AMI,20160502,0.082,0.082,0.079,0.079,460282
AML,20160502,0.059,0.06,0.059,0.06,96595
AMP,20160502,5.85,5.88,5.76,5.88,5478584
ANG,20160502,0.125,0.15,0.125,0.14,356785
ANN,20160502,20,20,19.56,19.92,527998
ANO,20160502,0.03,0.03,0.03,0.03,644427
ANP,20160502,0.034,0.034,0.034,0.034,225158
ANR,20160502,1.2,1.2,1.17,1.175,15416
ANW,20160502,0.008,0.009,0.007,0.007,3521611
ANZ,20160502,24.02,24.14,23.32,23.73,8335633
AOD,20160502,0.695,0.695,0.695,0.695,56
AOG,20160502,3.43,3.45,3.38,3.38,1372163
AOH,20160502,0.099,0.1,0.096,0.096,566429
AOK,20160502,0.06,0.06,0.057,0.06,406641
AON,20160502,0.018,0.018,0.018,0.018,58167
AOP,20160502,0.085,0.092,0.084,0.092,165246
AOU,20160502,0.145,0.15,0.145,0.145,428776
AOW,20160502,0.18,0.18,0.175,0.18,621750
APA,20160502,8.8,8.85,8.64,8.75,1656011
APD,20160502,0.405,0.41,0.405,0.41,5627
APE,20160502,10.79,10.94,10.72,10.91,34436
API,20160502,1.975,1.985,1.96,1.985,994370
APN,20160502,0.62,0.65,0.62,0.64,648021
APO,20160502,6.25,6.52,6.24,6.46,717015
APX,20160502,1.82,1.88,1.8,1.85,111108
APY,20160502,0.016,0.016,0.015,0.015,1443459
APZ,20160502,1.13,1.13,1.115,1.115,8151
AQC,20160502,0.018,0.018,0.018,0.018,892447
AQD,20160502,0.015,0.016,0.015,0.015,1463465
AQF,20160502,1.74,1.74,1.73,1.73,131836
AQG,20160502,3.54,3.7,3.54,3.7,1412254
AQI,20160502,0.09,0.09,0.089,0.089,140423
AQQ,20160502,0.029,0.03,0.027,0.03,768015
AQX,20160502,0.047,0.048,0.047,0.048,280950
AQZ,20160502,0.425,0.425,0.425,0.425,3500000
ARA,20160502,0.345,0.345,0.345,0.345,3251
ARB,20160502,16,16.25,15.73,16.11,112894
ARD,20160502,0.038,0.044,0.038,0.04,4269979
ARE,20160502,0.017,0.017,0.016,0.017,3611948
ARF,20160502,1.92,1.96,1.915,1.935,548310
ARG,20160502,7.26,7.3,7.24,7.3,185673
ARM,20160502,0.05,0.05,0.05,0.05,11000
ARU,20160502,0.049,0.049,0.049,0.049,99000
ARV,20160502,0.001,0.001,0.001,0.001,500000
ARX,20160502,0.001,0.001,0.001,0.001,3002707
ASB,20160502,1.55,1.57,1.515,1.515,838725
ASH,20160502,0.18,0.18,0.18,0.18,13948
ASL,20160502,0.47,0.49,0.47,0.49,400188
AST,20160502,1.53,1.55,1.525,1.535,2990550
ASX,20160502,43.53,44.02,43.39,44,370515
ASY,20160502,0.023,0.023,0.022,0.022,374945
ASZ,20160502,1.1,1.1,1.075,1.08,164893
ATA,20160502,0.03,0.03,0.03,0.03,10736
ATC,20160502,0.105,0.11,0.1,0.11,1884627
ATP,20160502,0.035,0.035,0.031,0.031,200000
ATU,20160502,0.455,0.46,0.455,0.455,56000
AUB,20160502,8.77,8.99,8.7,8.74,16476
AUC,20160502,0.04,0.04,0.04,0.04,100000
AUI,20160502,7.03,7.08,7.03,7.03,13849
AUK,20160502,0.014,0.014,0.014,0.014,35000
AUQ,20160502,0.017,0.017,0.016,0.016,220000
AUZ,20160502,0.014,0.014,0.013,0.013,3618755
AVB,20160502,0.072,0.074,0.072,0.074,1221846
AVD,20160502,0.026,0.026,0.026,0.026,30000
AVG,20160502,0.57,0.57,0.55,0.56,576669
AVH,20160502,0.135,0.135,0.135,0.135,1479119
AVJ,20160502,0.535,0.535,0.52,0.525,481501
AVL,20160502,0.011,0.011,0.01,0.01,2470000
AVQ,20160502,0.16,0.165,0.16,0.16,576148
AVX,20160502,0.023,0.023,0.023,0.023,3957
AVZ,20160502,0.008,0.008,0.008,0.008,3489850
AWC,20160502,1.485,1.545,1.475,1.535,27750002
AWE,20160502,0.69,0.715,0.675,0.705,1776803
AWN,20160502,0.39,0.42,0.38,0.42,65572
AWV,20160502,0.105,0.115,0.1,0.115,3043493
AXE,20160502,0.1,0.1,0.096,0.098,350093
AXI,20160502,0.049,0.049,0.048,0.048,196171
AXP,20160502,0.88,0.88,0.83,0.83,29121
AXT,20160502,0.092,0.092,0.088,0.088,178780
AXZ,20160502,0.3,0.3,0.3,0.3,7500
AYA,20160502,0.16,0.16,0.15,0.16,237916
AYB,20160502,0.031,0.031,0.031,0.031,100000
AYC,20160502,0.025,0.027,0.025,0.025,1145425
AYD,20160502,53.24,53.24,53.24,53.24,600
AYR,20160502,0.013,0.013,0.013,0.013,1475000
AYS,20160502,1.66,1.81,1.66,1.81,590305
AZJ,20160502,4.28,4.33,4.21,4.33,6630438
AZM,20160502,0.062,0.066,0.06,0.064,2288182
AZS,20160502,0.049,0.053,0.049,0.05,7763220
AZV,20160502,0.07,0.071,0.07,0.07,153065
AZY,20160502,0.023,0.027,0.023,0.026,18766407
BAF,20160502,1.04,1.05,1.04,1.04,176732
BAL,20160502,10,10.15,9.95,10.15,548017
BAP,20160502,4.97,5.04,4.97,5.01,801355
BAR,20160502,0.052,0.057,0.052,0.056,2541079
BAU,20160502,0.105,0.105,0.1,0.1,250474
BBG,20160502,1.36,1.365,1.29,1.33,331647
BBN,20160502,2.39,2.45,2.39,2.42,116430
BBR,20160502,0.073,0.08,0.073,0.08,50000
BBX,20160502,0.024,0.026,0.024,0.026,64864
BCI,20160502,0.18,0.185,0.175,0.18,643171
BCN,20160502,0.004,0.004,0.004,0.004,350000
BCT,20160502,0.02,0.02,0.02,0.02,311267
BDI,20160502,0.001,0.001,0.001,0.001,500000
BDR,20160502,0.325,0.335,0.32,0.32,11764313
BEAR,20160502,17.46,17.61,17.41,17.41,73638
BEL,20160502,0.13,0.13,0.13,0.13,5310
BEN,20160502,9.21,9.27,8.96,9.09,2116220
BFC,20160502,0.42,0.422,0.39,0.395,776761
BFG,20160502,0.5,0.5,0.495,0.495,21212
BGA,20160502,6.17,6.22,6.07,6.22,251651
BGD,20160502,0.037,0.037,0.037,0.037,152135
BGL,20160502,0.585,0.59,0.58,0.585,176186
BGS,20160502,0.335,0.37,0.325,0.35,3772637
BHP,20160502,20.51,20.99,20.42,20.92,6594143
BIG,20160502,0.165,0.165,0.15,0.16,150169
BIQ,20160502,0.66,0.66,0.65,0.65,60000
BIS,20160502,0.4,0.4,0.4,0.4,4500
BIT,20160502,0.063,0.063,0.06,0.06,317423
BKI,20160502,1.59,1.59,1.58,1.59,144324
BKL,20160502,162,162.68,156.88,162.23,104713
BKN,20160502,0.91,0.96,0.91,0.935,692884
BKP,20160502,0.001,0.001,0.001,0.001,1970000
BKT,20160502,0.051,0.051,0.051,0.051,200000
BKW,20160502,15.3,15.46,15.19,15.46,102982
BKY,20160502,0.57,0.585,0.56,0.57,301888
BLA,20160502,6.85,6.89,6.64,6.68,44239
BLD,20160502,6.44,6.46,6.37,6.46,1205247
BLG,20160502,0.175,0.185,0.165,0.165,472990
BLK,20160502,0.455,0.465,0.45,0.455,3768661
BLT,20160502,0.11,0.115,0.105,0.115,294603
BLX,20160502,1.8,1.805,1.75,1.78,544459
BLY,20160502,0.094,0.1,0.094,0.1,891512
BLZ,20160502,0.054,0.054,0.051,0.052,569031
BMP,20160502,0.245,0.245,0.245,0.245,2104
BNO,20160502,0.32,0.32,0.315,0.32,210939
BNR,20160502,0.063,0.064,0.056,0.063,597020
BOE,20160502,0.059,0.06,0.057,0.057,528611
BOL,20160502,0.069,0.072,0.069,0.072,107500
BOQ,20160502,11.19,11.19,10.77,10.99,2261886
BPF,20160502,0.36,0.37,0.355,0.37,375119
BPH,20160502,0.007,0.008,0.007,0.008,275000
BPL,20160502,0.071,0.075,0.071,0.075,140794
BPS,20160502,0.83,0.85,0.83,0.85,38108
BPT,20160502,0.74,0.775,0.73,0.775,14364480
BRB,20160502,0.185,0.185,0.185,0.185,5000
BRG,20160502,8.24,8.35,8.17,8.32,373166
BRK,20160502,0.008,0.008,0.008,0.008,750
BRL,20160502,0.015,0.015,0.014,0.014,39501
BRN,20160502,0.16,0.16,0.152,0.155,1032579
BRS,20160502,1.495,1.5,1.495,1.495,2715514
BRU,20160502,0.2,0.2,0.19,0.19,388650
BSA,20160502,0.235,0.235,0.23,0.23,727396
BSE,20160502,0.06,0.06,0.06,0.06,37806
BSL,20160502,6.48,6.6,6.38,6.55,3602068
BSM,20160502,0.01,0.012,0.01,0.012,318027
BSR,20160502,0.015,0.023,0.015,0.016,43035472
BTC,20160502,0.175,0.18,0.175,0.175,11043
BTI,20160502,1.06,1.07,1.055,1.07,144403
BTT,20160502,9.82,9.86,9.51,9.81,527692
BUD,20160502,0.145,0.145,0.13,0.13,2678106
BUG,20160502,0.58,0.59,0.58,0.59,68284
BUL,20160502,0.023,0.023,0.022,0.022,64000
BUX,20160502,0.064,0.067,0.059,0.059,549145
BUY,20160502,0.009,0.009,0.009,0.009,2528764
BWF,20160502,0.52,0.52,0.52,0.52,10000
BWP,20160502,3.5,3.54,3.485,3.51,886454
BWX,20160502,4.8,4.94,4.78,4.85,498170
BXB,20160502,12.45,12.53,12.25,12.5,3175432
BXN,20160502,0.028,0.028,0.028,0.028,35001
BYE,20160502,0.16,0.17,0.16,0.165,294104
BYL,20160502,0.14,0.14,0.13,0.13,45036
BYR,20160502,0.026,0.028,0.026,0.027,9538528
BZL,20160502,0.004,0.004,0.004,0.004,180940
CAA,20160502,0.11,0.115,0.11,0.11,234497
CAB,20160502,3.24,3.28,3.22,3.27,151135
CAD,20160502,0.003,0.003,0.002,0.003,16483412
CAE,20160502,0.03,0.03,0.03,0.03,25000
CAF,20160502,0.315,0.355,0.315,0.355,574596
CAJ,20160502,0.175,0.185,0.17,0.17,2271296
CAM,20160502,0.775,0.78,0.775,0.775,93817
CAP,20160502,0.068,0.068,0.06,0.06,146000
CAR,20160502,11.64,11.91,11.64,11.91,590822
CAS,20160502,0.16,0.16,0.15,0.155,482059
CAT,20160502,2.74,2.87,2.74,2.76,240218
CAV,20160502,0.015,0.016,0.015,0.015,4566119
CAZ,20160502,0.045,0.065,0.045,0.055,2112644
CBA,20160502,73,73.27,71.3,72.34,2968523
CBC,20160502,0.9,0.9,0.89,0.89,1600
CBS,20160502,0.031,0.036,0.03,0.032,2220000
CCL,20160502,8.55,8.59,8.45,8.57,1435242
CCP,20160502,10.11,10.14,9.77,10.09,224986
CCV,20160502,0.495,0.495,0.485,0.49,175693
CCZ,20160502,0.004,0.004,0.004,0.004,1000000
CDA,20160502,1.01,1.075,1.01,1.055,106884
CDC,20160502,0.22,0.245,0.205,0.235,650501
CDD,20160502,0.835,1.01,0.83,0.95,1034603
CDG,20160502,0.054,0.054,0.041,0.05,1559574
CDM,20160502,1.3,1.31,1.285,1.31,203970
CDP,20160502,9,9,8.51,8.51,5908
CDT,20160502,0.012,0.012,0.012,0.012,17359
CDV,20160502,0.2,0.225,0.2,0.21,2635126
CDY,20160502,0.021,0.022,0.021,0.022,837459
CEL,20160502,0.033,0.033,0.03,0.03,150000
CFE,20160502,0.027,0.027,0.025,0.026,1200000
CGC,20160502,2.96,3.045,2.95,3.04,785249
CGF,20160502,8.97,9.07,8.9,9.05,2141614
CGL,20160502,4.4,4.44,4.4,4.43,90288
CGN,20160502,0.078,0.079,0.076,0.076,441154
CGO,20160502,0.35,0.35,0.35,0.35,50000
CGR,20160502,0.15,0.15,0.15,0.15,242108
CGS,20160502,0.655,0.66,0.65,0.66,19917
CGW,20160502,0.565,0.565,0.565,0.565,82743
CHC,20160502,4.82,4.87,4.81,4.87,1075367
CHF,20160502,0.014,0.015,0.013,0.015,35500
CHK,20160502,0.017,0.017,0.017,0.017,964117
CHN,20160502,0.16,0.17,0.16,0.17,582058
CHP,20160502,0.004,0.004,0.004,0.004,1952381
CHZ,20160502,0.035,0.035,0.034,0.034,83750
CIA,20160502,0.27,0.27,0.27,0.27,18700
CIM,20160502,35.51,36.5,35.48,36.31,487606
CIN,20160502,31.8,31.99,31.8,31.9,3418
CIZ,20160502,0.021,0.022,0.02,0.02,1944335
CJC,20160502,0.006,0.006,0.006,0.006,700
CKA,20160502,0.027,0.027,0.027,0.027,99435
CKF,20160502,3.99,4.04,3.99,4.04,206567
CL1,20160502,2.48,2.58,2.46,2.58,415537
CL8,20160502,0.018,0.018,0.016,0.016,1537597
